name,description,lat,lon
Idol,Очень красивый тики-бар с отличной азиатской кухней,44.8206341,20.4632598
:null,"Нет, название - не компьютерная ошибка :-) Небольшой приятный бар, коктейли вкусные, освещение приятное",44.812506,20.4601542
